id;area;title;risk;effort;description;business_risk;check;sources;pingcastle;certipy;remediation;impact;mitre
PRV-01;AD – Konta uprzywilejowane;Minimalna liczba członków grup uprzywilejowanych (T0);Krytyczne;Średni;Grupy Domain/Enterprise/Schema Admins, Administrators, Account/Server/Backup/Print Operators, DnsAdmins, Group Policy Creator Owners, Key Admins zawierają tylko niezbędne, imienne konta administracyjne.;Każde konto w tych grupach to pełna kontrola nad domeną. Im więcej takich kont, tym większa szansa, że atakujący przejmie któreś z nich.;"PingCastle: sekcja Privileged Groups. BloodHound: członkowie grup Tier 0 (także zagnieżdżeni).
Get-ADGroupMember ""Domain Admins"" -Recursive | Select Name,ObjectClass";PingCastle, BloodHound, PowerShell;P-AdminNum,P-OperatorsEmpty;;"1. Zinwentaryzuj członków (także zagnieżdżonych) i ich uzasadnienie.
2. Usuń konta osób, które nie administrują domeną; zadania delegowane przenieś do grup z delegacją na OU.
3. Grupy Operators (Account/Server/Backup/Print) pozostaw puste.
4. Członkostwo zarządzaj przez grupy PAM (np. PAM-T0-…) i proces JIT/zatwierdzania.
5. Monitoruj zmiany (4728/4732/4756) w SIEM.";Przed usunięciem sprawdź, czy konto nie jest używane przez usługę lub zadanie.;T1078.002
PRV-02;AD – Konta uprzywilejowane;Konta serwisowe poza grupami uprzywilejowanymi;Krytyczne;Średni;"Konta usługowe (aplikacje, backup, monitoring) nie są członkami grup T0; tam gdzie to możliwe używane są gMSA.";Hasła kont serwisowych rzadko się zmieniają i często są znane wielu osobom – takie konto w grupie Domain Admins to prosta droga do przejęcia domeny.;PingCastle: konta serwisowe w grupach admin. BloodHound: konta z SPN będące członkami T0.;PingCastle, BloodHound;P-ServiceDomainAdmin;;"1. Dla każdego konta ustal faktycznie potrzebne uprawnienia (zwykle lokalny admin na kilku serwerach lub delegacja na OU).
2. Nadaj uprawnienia minimalne, usuń z grup T0.
3. Migruj na gMSA: New-ADServiceAccount -Name svcApp -DNSHostName svcApp.<domena> -PrincipalsAllowedToRetrieveManagedPassword <grupa_serwerów>
4. Jeśli gMSA niemożliwe: hasło ≥ 25 znaków, rotacja, FGPP, logowanie ograniczone do serwerów aplikacji.";Wymaga testów z właścicielem aplikacji.;T1078.002
PRV-03;AD – Konta uprzywilejowane;Konta uprzywilejowane oznaczone jako „wrażliwe, nie mogą być delegowane”;Wysokie;Niski;Flaga NOT_DELEGATED na kontach administracyjnych uniemożliwia wykorzystanie ich poświadczeń przez delegację Kerberos.;Bez tej flagi przejęty serwer z delegacją może podszyć się pod administratora domeny.;PingCastle: Privileged Accounts – delegation. PowerShell: Get-ADUser -Filter {AdminCount -eq 1 -and AccountNotDelegated -eq $false};PingCastle, PowerShell;P-Delegated;;"Set-ADAccountControl -Identity <konto> -AccountNotDelegated $true (dla wszystkich kont osób w T0/T1).
Alternatywnie dodaj konta do Protected Users (PRV-04).";;T1558
PRV-04;AD – Konta uprzywilejowane;Konta administratorów w grupie Protected Users;Wysokie;Średni;Protected Users wymusza: brak NTLM, brak delegacji, brak RC4/DES, TGT 4 h, brak buforowania poświadczeń.;Znacząco utrudnia kradzież i ponowne użycie poświadczeń administratorów (pass-the-hash, delegacja).;"PingCastle: Protected Users. Get-ADGroupMember ""Protected Users""";PingCastle, PowerShell;P-ProtectedUsers;;"1. Dodaj imienne konta administratorów T0 (NIE konta serwisowe ani komputery).
2. Najpierw pilotaż na 1–2 kontach: sprawdź logowanie RDP, narzędzia używające NTLM.
3. Zapewnij konto awaryjne (break-glass) poza grupą.";Konta w grupie nie zalogują się przez NTLM ani z cache – przetestuj scenariusze administracyjne.;T1550
PRV-05;AD – Konta uprzywilejowane;Brak SPN na kontach uprzywilejowanych (Kerberoasting);Krytyczne;Niski;Konta z uprawnieniami T0 nie mają atrybutu servicePrincipalName.;Każdy użytkownik domeny może pobrać bilet dla konta z SPN i łamać jego hasło offline – jeśli to administrator, oznacza to przejęcie domeny.;"PingCastle: Kerberoasting admin. BloodHound: Kerberoastable members of high value groups. Certipy/BH: kerberoastable.
Get-ADUser -Filter {AdminCount -eq 1 -and ServicePrincipalName -like '*'} -Properties ServicePrincipalName";PingCastle, BloodHound, PowerShell;P-Kerberoasting;;"1. Usuń zbędne SPN (Set-ADUser <konto> -ServicePrincipalNames @{Remove='…'}).
2. Jeśli SPN jest potrzebny – usuń konto z grup uprzywilejowanych (PRV-02) lub migruj na gMSA.
3. Natychmiast zmień hasło takiego konta (długie, losowe).";;T1558.003
PRV-06;AD – Konta uprzywilejowane;Wbudowane konto Administrator nieużywane i zabezpieczone;Wysokie;Niski;Konto RID-500 nie jest używane na co dzień, ma długie losowe hasło w sejfie, flagę „sensitive”, a jego użycie jest monitorowane.;"Wspólne konto bez rozliczalności; często ma stare hasło znane wielu osobom.";PingCastle: Native Administrator recently used. Get-ADUser -Identity <RID500> -Properties LastLogonDate,PasswordLastSet;PingCastle, PowerShell;P-AdminLogin;;"1. Zmień hasło (≥ 30 znaków, sejf, procedura break-glass).
2. Ustaw AccountNotDelegated, rozważ Smart card required.
3. Alert w SIEM na każde logowanie (4624 TargetSid kończący się -500).";;T1078.002
PRV-07;AD – Konta uprzywilejowane;Schema Admins i Enterprise Admins puste na co dzień;Średnie;Niski;Członkostwo nadawane tylko na czas zmian schematu / operacji na poziomie lasu.;Ogranicza liczbę kont zdolnych do zmian w całym lesie.;"PingCastle: Schema Admins not empty. Get-ADGroupMember ""Schema Admins""";PingCastle, PowerShell;P-SchemaAdmin;;"Usuń członków; dodawaj czasowo (np. przez PAM / Temporary Group Membership: Add-ADGroupMember -MemberTimeToLive przy włączonej funkcji Privileged Access Management).";;T1078.002
PRV-08;AD – Konta uprzywilejowane;Hasło krbtgt zmieniane regularnie;Wysokie;Niski;Hasło konta krbtgt zmieniane co najmniej co 180 dni oraz po każdym incydencie T0.;Znajomość hasła krbtgt pozwala tworzyć „złote bilety” – pełny, trudny do wykrycia dostęp do domeny.;PingCastle: Krbtgt password last change. Get-ADUser krbtgt -Properties PasswordLastSet;PingCastle, PowerShell;A-Krbtgt;;"1. Użyj skryptu Microsoft New-KrbtgtKeys.ps1 (tryb symulacji, potem właściwy).
2. Drugi reset po czasie ≥ maksymalnego życia TGT (domyślnie 10 h) i po pełnej replikacji.
3. Zaplanuj rotację cyklicznie (np. co 180 dni).";Zbyt szybki podwójny reset może unieważnić bilety i przerwać uwierzytelnianie.;T1558.001
PRV-09;AD – Konta uprzywilejowane;Grupa DnsAdmins pusta lub ściśle kontrolowana;Wysokie;Niski;Członkowie DnsAdmins mogą załadować dowolną bibliotekę DLL do usługi DNS działającej na DC.;Faktycznie równoważne uprawnieniom administratora domeny.;PingCastle: DnsAdmins. Get-ADGroupMember DnsAdmins;PingCastle, PowerShell;P-DNSAdmin;;"Usuń członków; zarządzanie DNS deleguj przez uprawnienia do stref zamiast członkostwa w DnsAdmins.";;T1574.002
PRV-10;AD – Konta uprzywilejowane;Oddzielne konta administracyjne i codzienne;Wysokie;Średni;Administratorzy używają osobnych kont do pracy biurowej i do administracji (per warstwa T0/T1/T2).;Kliknięcie w phishing na koncie z uprawnieniami admina = natychmiastowe przejęcie środowiska.;Przegląd: konta imienne w grupach admin z włączoną skrzynką pocztową / logowaniem na stacje biurowe.;Ręcznie, BloodHound;;;"1. Utwórz konta adm-t0-/adm-t1-/adm-t2- zgodnie z konwencją.
2. Konta admin bez skrzynek pocztowych i bez dostępu do internetu.
3. Codzienne konta usuń z grup uprzywilejowanych.";;T1078
